428,41,Y,54581280,54.58128
26,310,Y,50897088,50.897088000000004
58,77,N,45820960,45.82096
55,19,N,45001184,45.001184
45,94,N,44418592,44.418592000000004
52,522,Y,43170592,43.170592
86,52,N,42987168,42.987168
265,20,Y,42238304,42.238304
41,86,N,40744192,40.744192
76,710,Y,39985176,39.985176
77,719,Y,39624496,39.624496
464,45,Y,39252320,39.252320000000005
64,44,N,38039008,38.039008
96,868,Y,38006240,38.006240000000005
86,41,N,37941200,37.9412
37,26,N,37239616,37.239616
60,39,N,36762336,36.762336
772,84,Y,36093504,36.093503999999996
44,454,Y,35681280,35.68128
22,64,N,35407744,35.407744
64,618,Y,35311200,35.3112
713,76,Y,35114400,35.1144
494,49,Y,34980960,34.98096
807,88,Y,34946112,34.946112
94,5,N,34792448,34.792448
92,96,N,34786880,34.78688
64,22,N,34175632,34.175632
85,3,N,34127968,34.127967999999996
45,464,Y,34007421,34.007421
60,52,N,33794048,33.794048
542,55,Y,33416896,33.416896
52,20,N,33149280,33.14928
802,87,Y,33145024,33.145024
41,428,Y,32949184,32.949183999999995
87,50,N,32601632,32.601632
53,45,N,32494688,32.494688
41,73,N,32118032,32.118032
81,67,N,31559296,31.559295999999996
77,716,Y,31422848,31.422848
310,26,Y,30952896,30.952896000000003
48,57,N,30865387,30.865387
50,58,N,30861984,30.861984
48,485,Y,30826688,30.826688
18,244,Y,30783488,30.783488
279,22,Y,30715488,30.715488
754,81,Y,30623904,30.623904000000003
67,49,N,30463360,30.46336
60,584,Y,30363264,30.363264
26,17,N,30075213,30.075213
145,5,Y,29944096,29.944096
23,290,Y,29454400,29.454399999999996
17,86,N,29426473,29.426472999999998
5,25,N,29405952,29.405952000000003
26,309,Y,29356768,29.356768
755,81,Y,29181569,29.181569000000003
68,53,N,29045280,29.04528
803,87,Y,28943282,28.943281999999996
44,459,Y,28940224,28.940223999999997
581,60,Y,28914816,28.914816
870,96,Y,28771072,28.771071999999997
20,264,Y,28463744,28.463744000000002
5,145,Y,28360000,28.360000000000003
39,77,N,28233632,28.233631999999997
25,44,N,27838816,27.838816
62,41,N,27750656,27.750656000000003
785,85,Y,27682944,27.682944
58,566,Y,27670016,27.670015999999997
34,68,N,27383872,27.383871999999997
52,60,N,27383104,27.383104000000003
64,616,Y,27300736,27.300735999999997
41,431,Y,27251322,27.251322000000002
84,31,N,27054752,27.054751999999997
88,62,N,26983968,26.983968000000004
87,1,N,26962688,26.962688
19,48,N,26899680,26.899679999999996
31,76,N,26792000,26.791999999999998
49,499,Y,26789888,26.789888
179,9,Y,26653088,26.653088000000004
49,64,N,26539904,26.539903999999996
76,37,N,26509024,26.509023999999997
60,26,N,26416384,26.416383999999997
583,60,Y,26395520,26.39552
76,62,N,26346560,26.346560000000004
39,60,N,26290211,26.290211000000003
8,64,N,26285184,26.285184
650,68,Y,26278336,26.278336000000003
15,18,N,26264832,26.264832
62,92,N,26200736,26.200736000000003
709,76,Y,26175424,26.175424000000003
20,42,N,26165952,26.165951999999997
42,23,N,26165952,26.165951999999997
9,15,N,26134528,26.134528000000003
85,783,Y,26132320,26.132319999999996
92,26,N,26130976,26.130976
1,85,N,26105152,26.105151999999997
3,8,N,26088096,26.088096
73,92,N,26087232,26.087232
96,58,N,25948292,25.948292000000002
65,55,N,25282826,25.282826000000004
58,15,N,24533683,24.533683
45,467,Y,24509193,24.509193
454,44,Y,24465184,24.465184
22,60,N,23904940,23.90494
46,471,Y,23807904,23.807904
23,42,N,23654741,23.654741
77,91,N,22900748,22.900748
612,64,Y,22782548,22.782548
60,580,Y,22588184,22.588184
34,378,Y,22466617,22.466617
570,58,Y,22426976,22.426976
46,44,N,22242368,22.242368000000003
17,26,N,22029600,22.0296
45,85,N,21600736,21.600736
290,23,Y,21582304,21.582304
489,48,Y,21343143,21.343143
20,52,N,21234400,21.2344
60,585,Y,21221343,21.221343
86,45,N,21116833,21.116833
49,59,N,20947664,20.947664
57,39,N,20354415,20.354415
287,23,Y,20277177,20.277177
75,45,N,20029645,20.029645
5,142,Y,20018912,20.018912
42,75,N,19818353,19.818353
309,26,Y,19716768,19.716768000000002
55,547,Y,19235008,19.235008
41,58,N,19204512,19.204512
39,84,N,19158272,19.158272
32,26,N,19156217,19.156217
10,86,N,19027664,19.027664
26,308,Y,18938016,18.938015999999998
264,20,Y,18705502,18.705502
53,61,N,18687424,18.687424
88,4,N,18684496,18.684496
473,46,Y,18658688,18.658688
84,772,Y,18606080,18.60608
61,84,N,18576288,18.576287999999998
26,311,Y,18357621,18.357620999999998
81,32,N,18286653,18.286653
7,64,N,18235168,18.235167999999998
18,65,N,18148928,18.148928
81,94,N,18116256,18.116256
44,46,N,18042037,18.042037
19,96,N,18010560,18.01056
81,41,N,17816736,17.816736
496,49,Y,17741792,17.741792
23,77,N,17738880,17.73888
96,875,Y,17690208,17.690208
87,796,Y,17578934,17.578934
9,178,Y,17494624,17.494624
61,592,Y,17477344,17.477344
308,26,Y,17372721,17.372721
49,73,N,17315136,17.315136
467,45,Y,17048640,17.048640000000002
13,20,N,16949739,16.949739
248,18,Y,16816736,16.816736
462,45,Y,16664224,16.664224
4,61,N,16590304,16.590304
23,59,N,16549888,16.549888
91,46,N,16331680,16.331680000000002
45,53,N,16320000,16.32
45,19,N,16305088,16.305088
85,71,N,16124753,16.124753
59,60,N,16076544,16.076544000000002
616,64,Y,16053024,16.053024
55,542,Y,16032965,16.032964999999997
44,452,Y,15524000,15.524
34,60,N,15467872,15.467872
91,61,N,15340616,15.340616
52,55,N,15304896,15.304896000000001
60,22,N,14883936,14.883936
22,280,Y,14814848,14.814848
460,45,Y,14783584,14.783584
68,85,N,14675309,14.675309
26,57,N,14641824,14.641824
20,13,N,14427680,14.42768
48,98,N,14406528,14.406528
10,5,N,14398944,14.398944
187,10,Y,14391392,14.391392
798,87,Y,14350240,14.35024
28,87,N,14318010,14.318010000000001
41,81,N,14268896,14.268896
751,81,Y,14253408,14.253408
81,65,N,14246368,14.246368
587,60,Y,14172192,14.172192
60,587,Y,14164096,14.164096
434,41,Y,14158656,14.158656
77,39,N,14120375,14.120375
463,45,Y,14046341,14.046341000000002
85,787,Y,13993153,13.993153
44,54,N,13976064,13.976064
46,475,Y,13919729,13.919729
716,77,Y,13903136,13.903136
60,581,Y,13754720,13.75472
720,77,Y,13720768,13.720768
20,261,Y,13567712,13.567712000000002
10,182,Y,13533988,13.533987999999999
48,490,Y,13525984,13.525984
15,60,N,13520352,13.520351999999999
26,60,N,13480896,13.480896000000001
289,23,Y,13413856,13.413856
26,314,Y,13357312,13.357311999999999
472,46,Y,13325984,13.325983999999998
83,68,N,13300704,13.300704
68,648,Y,13300096,13.300096
64,612,Y,13296352,13.296352
46,20,N,13295726,13.295726
5,143,Y,13258336,13.258336000000002
10,60,N,13247488,13.247487999999999
10,7,N,13224768,13.224768000000001
34,99,N,13224640,13.224639999999999
48,491,Y,13183936,13.183936
84,74,N,13157152,13.157152
18,17,N,13150176,13.150176
457,44,Y,13116768,13.116768
68,14,N,13114560,13.11456
99,10,N,13044288,13.044288000000002
184,10,Y,13028864,13.028864
98,10,N,12876304,12.876304
646,68,Y,12816908,12.816908
749,81,Y,12787072,12.787071999999998
49,86,N,12751360,12.75136
60,10,N,12745856,12.745856
45,462,Y,12688224,12.688224
455,44,Y,12546881,12.546880999999999
68,647,Y,12480544,12.480544
41,432,Y,12456801,12.456801
20,46,N,12441312,12.441312
45,86,N,12396672,12.396672
61,591,Y,12313312,12.313312
