0,177,566,51060,0,51312
1,379,782,51060,29568,80880
0,177,566,51060,51312,95712
2,456,591,50000,71390,121854
1,379,782,51060,80880,125280
3,179,752,50000,78488,131856
0,177,566,51060,95712,140112
4,291,182,51060,114685,165997
1,379,782,51060,125280,170336
5,173,651,10000,160899,182408
0,177,566,51060,140112,184512
4,291,182,51060,165997,210397
1,379,782,51060,170336,214944
0,177,566,51060,184512,228912
4,291,182,51060,210397,254797
1,379,782,51060,214944,259344
0,177,566,51060,228912,273312
6,587,452,10000,277144,295728
4,291,182,51060,254797,299197
1,379,782,51060,259344,303744
0,177,566,51060,273312,317712
4,291,182,51060,299197,343597
1,379,782,51060,303744,348144
0,177,566,51060,317712,362112
7,378,580,51060,329561,377969
4,291,182,51060,343597,387997
1,379,782,51060,348144,392544
8,147,244,51060,347379,401595
7,378,580,28940,377969,403137
0,177,566,51060,362112,406512
9,571,244,10000,404028,428439
4,291,182,51060,387997,432397
1,379,782,51060,392544,436944
0,177,566,51060,406512,450912
8,147,244,51060,401595,454955
4,291,182,51060,432397,476797
1,379,782,51060,436944,481344
10,374,570,51060,435764,489980
0,177,566,51060,450912,495312
8,147,244,51060,454955,499355
4,291,182,51060,476797,521197
1,379,782,51060,481344,525744
10,374,570,51060,489980,534380
11,184,547,51060,482697,536913
0,177,566,51060,495312,539712
8,147,244,46820,499355,540075
4,291,182,51060,521197,565597
1,379,782,51060,525744,570144
10,374,570,51060,534380,578780
11,184,547,51060,536913,581313
0,177,566,51060,539712,584112
12,428,522,51060,541669,592981
4,291,182,51060,565597,609997
1,379,782,51060,570144,614544
10,374,570,51060,578780,623180
11,184,547,51060,581313,625713
0,177,566,51060,584112,628512
12,428,522,51060,592981,637381
4,291,182,51060,609997,654397
1,379,782,51060,614544,658944
10,374,570,51060,623180,667580
11,184,547,51060,625713,670113
0,177,566,51060,628512,672912
12,428,522,51060,637381,681781
4,291,182,51060,654397,698797
1,379,782,51060,658944,703344
11,184,547,51060,670113,714513
10,374,570,51060,667580,716348
0,177,566,51060,672912,717312
12,428,522,51060,681781,726181
4,291,182,51060,698797,743197
1,379,782,51060,703344,747744
11,184,547,51060,714513,758913
0,177,566,51060,717312,761712
12,428,522,51060,726181,770581
13,570,585,51060,695626,770736
10,374,570,51060,716348,777500
4,291,182,51060,743197,787597
1,379,782,51060,747744,792144
15,289,473,51060,744211,795523
11,184,547,51060,758913,803313
0,177,566,51060,761712,806112
